Cs_a,B
0.1,-2.42E+03
0.2,-2.39E+03
0.3,-2.36E+03
0.4,-2.33E+03
0.5,-2.30E+03
0.6,-2.27E+03
0.7,-2.24E+03
0.8,-2.21E+03
0.9,-2.18E+03
1,-2.15E+03
1.1,-2.12E+03
1.2,-2.09E+03
1.3,-2.06E+03
1.4,-2.04E+03
1.5,-2.01E+03
1.6,-1.98E+03
1.7,-1.96E+03
1.8,-1.93E+03
1.9,-1.91E+03
2,-1.88E+03
2.1,-1.86E+03
2.2,-1.83E+03
2.3,-1.81E+03
2.4,-1.78E+03
2.5,-1.76E+03
2.6,-1.74E+03
2.7,-1.71E+03
2.8,-1.69E+03
2.9,-1.67E+03
3,-1.65E+03
3.1,-1.63E+03
3.2,-1.60E+03
3.3,-1.58E+03
3.4,-1.56E+03
3.5,-1.54E+03
3.6,-1.52E+03
3.7,-1.50E+03
3.8,-1.48E+03
3.9,-1.46E+03
4,-1.44E+03
4.1,-1.42E+03
4.2,-1.40E+03
4.3,-1.38E+03
4.4,-1.37E+03
4.5,-1.35E+03
4.6,-1.33E+03
4.7,-1.31E+03
4.8,-1.29E+03
4.9,-1.28E+03
5,-1.26E+03
5.1,-1.24E+03
5.2,-1.23E+03
5.3,-1.21E+03
5.4,-1.19E+03
5.5,-1.18E+03
5.6,-1.16E+03
5.7,-1.14E+03
5.8,-1.13E+03
5.9,-1.11E+03
6,-1.10E+03
6.1,-1.08E+03
6.2,-1.07E+03
6.3,-1.05E+03
6.4,-1.03E+03
6.5,-1.02E+03
6.6,-1.01E+03
6.7,-9.91E+02
6.8,-9.77E+02
6.9,-9.62E+02
7,-9.48E+02
7.1,-9.34E+02
7.2,-9.21E+02
7.3,-9.07E+02
7.4,-8.93E+02
7.5,-8.80E+02
7.6,-8.67E+02
7.7,-8.54E+02
7.8,-8.40E+02
7.9,-8.28E+02
8,-8.15E+02
8.1,-8.02E+02
8.2,-7.89E+02
8.3,-7.77E+02
8.4,-7.65E+02
8.5,-7.52E+02
8.6,-7.40E+02
8.7,-7.28E+02
8.8,-7.16E+02
8.9,-7.04E+02
9,-6.93E+02
9.1,-6.81E+02
9.2,-6.69E+02
9.3,-6.58E+02
9.4,-6.47E+02
9.5,-6.35E+02
9.6,-6.24E+02
9.7,-6.13E+02
9.8,-6.02E+02
9.9,-5.91E+02
10,-5.80E+02
10.1,-5.69E+02
10.2,-5.58E+02
10.3,-5.47E+02
10.4,-5.35E+02
10.5,-5.23E+02
10.6,-5.11E+02
10.7,-4.96E+02
10.8,-4.70E+02
10.9,-1.12E+03
11,-5.09E+02
11.1,-4.85E+02
11.2,-4.71E+02
11.3,-4.59E+02
11.4,-4.48E+02
11.5,-4.37E+02
11.6,-4.27E+02
11.7,-4.17E+02
11.8,-4.08E+02
11.9,-3.98E+02
12,-3.89E+02
12.1,-3.79E+02
12.2,-3.70E+02
12.3,-3.61E+02
12.4,-3.52E+02
12.5,-3.43E+02
12.6,-3.34E+02
12.7,-3.25E+02
12.8,-3.17E+02
12.9,-3.08E+02
13,-2.99E+02
13.1,-2.91E+02
13.2,-2.82E+02
13.3,-2.73E+02
13.4,-2.65E+02
13.5,-2.56E+02
13.6,-2.47E+02
13.7,-2.38E+02
13.8,-2.29E+02
13.9,-2.18E+02
14,-2.06E+02
